canonical,metab_group,tissue,sex,comparison_group,logFC,adj_p_value,p_value,n_platform_entries,sex_label,sig_dot
FAD,NAD redox,SKM-GN,female,4w,0.557739116848465,0.705717241653686,0.00152140258094246,1,Female,
FAD,NAD redox,SKM-GN,female,8w,0.2085720338062,1,0.191475272950049,1,Female,
FAD,NAD redox,SKM-GN,male,1w,0.256820091224965,1,0.171548969603798,1,Male,
FAD,NAD redox,SKM-GN,male,2w,0.3750000866092,1,0.0507664957596985,1,Male,
FAD,NAD redox,SKM-GN,male,4w,0.646152542072992,0.746643075042733,0.00168859863550308,1,Male,
FAD,NAD redox,SKM-GN,male,8w,0.501383249429739,1,0.0112295945177278,1,Male,
FAD,NAD redox,WAT-SC,female,1w,-0.058991302429154,1,0.786960415912935,1,Female,
FAD,NAD redox,WAT-SC,female,2w,0.307754933895313,1,0.166626896318641,1,Female,
FAD,NAD redox,WAT-SC,female,4w,0.1710996873147,1,0.435669669819438,1,Female,
FAD,NAD redox,WAT-SC,female,8w,0.378203735007357,1,0.0923095417519935,1,Female,
FAD,NAD redox,WAT-SC,male,1w,-0.143603803776411,1,0.417309575410614,1,Male,
FAD,NAD redox,WAT-SC,male,2w,-0.0868499104349356,1,0.622150479352892,1,Male,
FAD,NAD redox,WAT-SC,male,4w,0.0355514334406648,1,0.839777856962832,1,Male,
FAD,NAD redox,WAT-SC,male,8w,0.27622152825032,1,0.125761790230327,1,Male,
Fumarate,TCA cycle,BAT,female,1w,-0.177620604131429,1,0.599259801376183,1,Female,
Fumarate,TCA cycle,BAT,female,2w,-0.390880791570294,1,0.140467219172619,2,Female,
Fumarate,TCA cycle,BAT,female,4w,-0.09509595360211011,1,0.655708484370552,2,Female,
Fumarate,TCA cycle,BAT,female,8w,-0.414364982545733,1,0.0757886992965525,2,Female,
Fumarate,TCA cycle,BAT,male,1w,-0.1394684033547655,1,0.00844834212442635,2,Male,
Fumarate,TCA cycle,BAT,male,2w,-0.35624561153242595,1,0.0373033844368862,2,Male,
Fumarate,TCA cycle,BAT,male,4w,0.131100375291766,1,0.00786581578420178,2,Male,
Fumarate,TCA cycle,BAT,male,8w,-0.456351099238551,1,0.147553593207366,1,Male,
Fumarate,TCA cycle,HEART,female,1w,-0.1009956354139095,1,0.305323697477761,2,Female,
Fumarate,TCA cycle,HEART,female,2w,0.01329463948266876,1,0.937042570088534,2,Female,
Fumarate,TCA cycle,HEART,female,4w,-0.7310548790942535,1,0.00357614786097373,2,Female,
Fumarate,TCA cycle,HEART,female,8w,-0.12960653993042448,1,0.605423289773033,2,Female,
Fumarate,TCA cycle,HEART,male,1w,-0.21270511677337,1,0.259155624034165,2,Male,
Fumarate,TCA cycle,HEART,male,2w,-0.012651726638613997,1,0.18824738150846199,2,Male,
Fumarate,TCA cycle,HEART,male,4w,-0.17701509568503,1,0.161636659716518,2,Male,
Fumarate,TCA cycle,HEART,male,8w,-0.003590484047295499,1,0.586517967965947,2,Male,
Fumarate,TCA cycle,HIPPOC,female,1w,-0.171197278078321,1,0.375838705113327,1,Female,
Fumarate,TCA cycle,HIPPOC,female,2w,-0.089069153579805,1,0.642098166846695,1,Female,
Fumarate,TCA cycle,HIPPOC,female,4w,0.140136881723624,1,0.42888174920455,1,Female,
Fumarate,TCA cycle,HIPPOC,female,8w,0.0570835578885243,1,0.730503965154276,1,Female,
Fumarate,TCA cycle,HIPPOC,male,1w,-0.0968759210578643,1,0.779344348750106,1,Male,
Fumarate,TCA cycle,HIPPOC,male,2w,0.212724078210776,1,0.539691514789262,1,Male,
Fumarate,TCA cycle,HIPPOC,male,4w,-0.456029121903797,1,0.194779025973081,1,Male,
Fumarate,TCA cycle,HIPPOC,male,8w,-0.106523119677026,1,0.758066589816114,1,Male,
Fumarate,TCA cycle,KIDNEY,female,1w,-0.200758133685595,1,0.128780894293163,2,Female,
Fumarate,TCA cycle,KIDNEY,female,2w,-0.2410367614829485,1,0.135481964745565,2,Female,
Fumarate,TCA cycle,KIDNEY,female,4w,-0.1911354646332805,1,0.181800634885968,2,Female,
Fumarate,TCA cycle,KIDNEY,female,8w,-0.1551753440627665,1,0.360535338452788,2,Female,
Fumarate,TCA cycle,KIDNEY,male,1w,-0.1609435771737305,1,0.28290844188623,2,Male,
Fumarate,TCA cycle,KIDNEY,male,2w,-0.02182790572821075,1,0.885521924738054,2,Male,
Fumarate,TCA cycle,KIDNEY,male,4w,-0.153412228386891,1,0.319879503129858,2,Male,
Fumarate,TCA cycle,KIDNEY,male,8w,-0.2813652494581051,1,0.028345433340952,2,Male,
Fumarate,TCA cycle,LIVER,female,1w,-0.11940901930530384,1,0.237799376882887,2,Female,
Fumarate,TCA cycle,LIVER,female,2w,-0.24913390227069776,1,0.0266785312204533,2,Female,
Fumarate,TCA cycle,LIVER,female,4w,-0.21115657169584426,1,0.0179979938840232,2,Female,
Fumarate,TCA cycle,LIVER,female,8w,-0.27116264180801253,1,0.0333883087956897,2,Female,
Fumarate,TCA cycle,LIVER,male,1w,-0.009245944655360994,1,0.365417401067568,2,Male,
Fumarate,TCA cycle,LIVER,male,2w,0.3546205412769745,1,0.0647520584136378,2,Male,
Fumarate,TCA cycle,LIVER,male,4w,0.19652399789339098,1,0.225482871319231,2,Male,
Fumarate,TCA cycle,LIVER,male,8w,0.3175290583503333,1,0.0226523271161437,2,Male,
Fumarate,TCA cycle,LUNG,female,1w,-0.012368714230908198,1,0.373007791129207,2,Female,
Fumarate,TCA cycle,LUNG,female,2w,-0.1689311064737956,1,0.205251414747534,2,Female,
Fumarate,TCA cycle,LUNG,female,4w,-0.027854084390996903,1,0.384571827184412,2,Female,
Fumarate,TCA cycle,LUNG,female,8w,-0.025790059146032995,1,0.27135377154595,2,Female,
Fumarate,TCA cycle,LUNG,male,1w,-0.16217649586196348,1,0.256686882060473,2,Male,
Fumarate,TCA cycle,LUNG,male,2w,-0.1455424561981573,1,0.0716166467486277,2,Male,
Fumarate,TCA cycle,LUNG,male,4w,-0.19146586208154154,1,0.10961542342695,2,Male,
Fumarate,TCA cycle,LUNG,male,8w,-0.03794820280276073,1,0.673517160718676,2,Male,
Fumarate,TCA cycle,NA,female,1w,-0.894718314877185,0.939016104174496,0.00260160789773621,2,Female,
Fumarate,TCA cycle,NA,female,2w,-0.5451985605341401,1,0.0311179841435907,2,Female,
Fumarate,TCA cycle,NA,female,4w,-0.9475349160166535,0.929990056065068,0.00255529850806275,2,Female,
Fumarate,TCA cycle,NA,female,8w,-0.6662467527387645,1,0.00409126333453483,2,Female,
Fumarate,TCA cycle,NA,male,1w,-0.7126904346375524,1,0.00512998808470459,2,Male,
Fumarate,TCA cycle,NA,male,2w,-0.4559528708708495,1,0.0500827178478376,2,Male,
Fumarate,TCA cycle,NA,male,4w,-0.65957381420697,0.35545010878086,4.33611939959601e-4,2,Male,
Fumarate,TCA cycle,NA,male,8w,-0.6463571581877675,0.6719821416536,0.00137517213618005,2,Male,
Fumarate,TCA cycle,SKM-GN,female,1w,-0.23765396845834177,1,0.0351124346272817,2,Female,
Fumarate,TCA cycle,SKM-GN,female,2w,-0.3071907461919282,1,0.0165885906240468,2,Female,
Fumarate,TCA cycle,SKM-GN,female,4w,-0.21240134079393566,1,0.02783214032171,2,Female,
Fumarate,TCA cycle,SKM-GN,female,8w,0.13055081321690412,1,0.22835079763558,2,Female,
Fumarate,TCA cycle,SKM-GN,male,1w,-0.3352436318195681,0.959275856823323,0.00272193393189167,2,Male,
Fumarate,TCA cycle,SKM-GN,male,2w,-0.1537994072601976,1,0.065649135252874,2,Male,
Fumarate,TCA cycle,SKM-GN,male,4w,0.05850507184599116,1,0.447027307346144,2,Male,
Fumarate,TCA cycle,SKM-GN,male,8w,0.17136397109453405,1,0.090454624864912,2,Male,
Fumarate,TCA cycle,WAT-SC,female,1w,0.11897392954479602,1,0.143220437607227,2,Female,
Fumarate,TCA cycle,WAT-SC,female,2w,0.63840739232893,1,0.0147031179800377,2,Female,
