ets_gene,buf_gene,r,r_with_bat,delta_r
Cox5a,Prdx5,0.6651542170985487,0.8385469708729412,-0.17339275377439245
Atp5f1d,Glrx2,0.6627320809746384,0.7769911718371066,-0.11425909086246822
Ndufs7,Txn2,0.6560682175432201,0.7588081847090759,-0.10273996716585576
Ndufv2,Prdx3,0.6543277005975698,0.8014175969159442,-0.14708989631837432
Atp5mc1,Sod2,0.6526091812562472,-0.40103566312385697,1.0536448443801043
Ndufs7,Gpx4,0.6524706461907538,0.779929562979324,-0.12745891678857024
Atp5pb,Prdx5,0.6515541039533379,0.8196700100673925,-0.16811590611405458
Cycs,Gclm,0.6484989064810243,0.6595784329479919,-0.011079526466967637
Uqcrb,Prdx5,0.6482016110988947,0.8476915338188881,-0.19948992271999333
Ndufv2,Sod2,0.6478901308810268,0.8535560094610086,-0.20566587857998186
Ndufa10,Gpx4,0.6452366227373285,0.7306986127170175,-0.08546198997968901
Cox6b1,Prdx5,0.6443099380573859,0.8307704626293838,-0.1864605245719979
Atp5po,Prdx5,0.6441952432932115,0.8216995797887927,-0.17750433649558117
Ndufs3,Nnt,0.6434743408454224,-0.6442008581270039,1.2876751989724262
Ndufb8,Prdx5,0.6430870995811016,0.8178075758739907,-0.17472047629288912
Uqcrfs1,Prdx5,0.6428115834968138,0.8519630409841955,-0.20915145748738173
Uqcrc1,Prdx5,0.6425769196646899,0.8518646115544491,-0.20928769188975926
Cycs,Gpx1,0.6406101892352114,0.4244370726409093,0.2161731165943021
Cycs,Glrx2,0.6293628906716934,0.7628204339902148,-0.13345754331852144
Cyc1,Sod2,0.6284245264812836,0.8501638897993362,-0.22173936331805266
Ndufs7,Gpx1,0.6251855743108337,0.18484333665207592,0.44034223765875774
Ndufa10,Gpx1,0.6240088673014601,0.06693575448143814,0.5570731128200219
Ndufs2,Nnt,0.6204002544695059,-0.7875258882065493,1.4079261426760552
Cyc1,Prdx5,0.617510026840541,0.8420327052091516,-0.22452267836861062
Cycs,Sod1,0.6171759184170555,0.7888694118034406,-0.17169349338638507
Uqcrfs1,Sod2,0.6170838413945895,0.8472159770960398,-0.2301321357014503
Ndufa10,Prdx3,0.6159702705865526,0.7593535139665862,-0.1433832433800336
Atp5mc1,Gpx1,0.613183339817085,0.4147678821030668,0.19841545771401814
Cycs,Gss,0.6121065290501881,0.7005866133596882,-0.08848008430950005
Cycs,Sod2,0.6071512229173684,0.7816421246561654,-0.174490901738797
Ndufs7,Gss,0.6068518238753049,0.6350523826872703,-0.02820055881196537
Atp5f1d,Txnrd2,0.6061097149298279,0.804246678483299,-0.1981369635534711
Ndufs7,Txnrd2,0.6037759072600094,0.7986476827058653,-0.19487177544585588
Ndufs7,Prdx5,0.5994868611440285,0.836655796744066,-0.2371689356000375
Ndufv2,Gpx1,0.5926989310793561,0.1442883878315996,0.44841054324775653
Atp5f1c,Nnt,0.5903161643231978,-0.7220732662898959,1.3123894306130937
Atp5mc1,Sod1,0.583892081301952,-0.4544197227893989,1.038311804091351
Atp5f1b,Prdx5,0.5779603248867607,0.7432194096775607,-0.16525908479079998
Ndufa10,Gclm,0.5754112665814805,0.4236625418448118,0.15174872473666867
Atp5mc1,Gpx4,0.5717595219478804,-0.28544167652443153,0.8572011984723119
Ndufa10,Sod2,0.5678635456140236,0.8166617223184717,-0.24879817670444804
Atp5mc3,Nnt,0.5666904554303819,0.20915814786576445,0.3575323075646174
Ndufv2,Txnrd2,0.5613345864787062,0.7804199619741504,-0.21908537549544427
Ndufs1,Nnt,0.5602858551464374,-0.7449957157149762,1.3052815708614136
