ets_gene,buf_gene,r
Atp5f1e,Gclc,-0.5186585644069737
Ndufs2,Gclc,-0.5209079658648
Ndufs8,Gclc,-0.526141586099582
Uqcrc2,Nnt,-0.6118776407057044
Atp5f1e,Nnt,-0.6295130616457318
Ndufs3,Nnt,-0.6442008581270039
Cycs,Nnt,-0.6561881117581781
Atp5f1c,Nnt,-0.7220732662898959
Cox4i1,Nnt,-0.7284342046471977
Ndufs1,Nnt,-0.7449957157149762
Atp5f1b,Nnt,-0.7574792708584883
Cox6a1,Nnt,-0.7795740877475164
Atp5po,Nnt,-0.7855417908667018
Ndufs2,Nnt,-0.7875258882065493
Ndufv1,Nnt,-0.7911235547872941
Cox5a,Nnt,-0.8024181886632576
Atp5f1a,Nnt,-0.8091272812048221
Atp5pb,Nnt,-0.8093477690806663
Ndufb8,Nnt,-0.8116240824332293
Cox6b1,Nnt,-0.8218699393815732
Cox5b,Nnt,-0.8358392577454011
Ndufs8,Nnt,-0.836481413053652
Ndufa9,Nnt,-0.8421495144909393
Ndufv2,Nnt,-0.8561119881104002
Ndufs7,Nnt,-0.8570590897901069
Cox7a2,Nnt,-0.8641361971143545
Atp5f1d,Nnt,-0.865488753429872
Uqcrb,Nnt,-0.8661422818522697
Cyc1,Nnt,-0.8699586084697046
Uqcrc1,Nnt,-0.8872293403383126
Uqcrfs1,Nnt,-0.8927108911353012
Ndufa10,Nnt,-0.8977645121853073
